Age Slab,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
6-16 Years Old,Meghalaya,Girl,NA,NA,NA,78.65,77.53,75.32,75.5,76.2,76.2,76.7
6-16 Years Old,Mizoram,Total,69.73,75.68,69.74,66.95,73.73,73.16,70.16,68.4,48.4,53.7
6-16 Years Old,Mizoram,Boy,NA,NA,NA,69.52,75.64,75.1,72.13,70.2,51.2,55
6-16 Years Old,Mizoram,Girl,NA,NA,NA,64.11,71.59,70.9,67.94,66.4,45.3,52.3
6-16 Years Old,Nagaland,Total,64.94,77.47,71.97,67.29,66.43,67.43,74,67.6,74.9,75.1
6-16 Years Old,Nagaland,Boy,NA,NA,NA,66.98,65.99,66.86,74.58,68.3,75.7,75.8
6-16 Years Old,Nagaland,Girl,NA,NA,NA,67.63,66.91,68.02,73.39,66.8,74,74.4
6-16 Years Old,Odisha,Total,73.05,71.74,64.72,64.42,65.03,66.33,64.7,67.2,68.2,64
6-16 Years Old,Odisha,Boy,NA,NA,NA,66.4,67.87,69.31,65.07,68.3,70,67.2
6-16 Years Old,Odisha,Girl,NA,NA,NA,61.46,60.85,61.95,64.27,65.8,65.9,59.7
